HZ,JGDEC,CFREQ,PINYIN,JIESHI,ENGLISH,FIND,RCNT
又,又,69,yòu,表示重复或继续，指相同的：～下雨了。#表示加重语气、更进一层：～不是小孩。#表示几种情况或几种性质同时存在：～高～大。#表示转折：面熟～想不起来。,and#also#again,0,1
关,丷天,6,guān,闭，合拢：～闭。#拘禁：～押。#险要：～隘。#征收进出口货税的机构：海～。#转折点，难过的点：～节。#牵连，联属：～连。#姓。,frontier pass#close#relation,0,2
点,占灬,0,diǎn,点字义较多，仅给出部分词语：～滴。～线面。小数～，几～泪水。地～。起～。优～。特～。评～。～缀。～种。～头。～火。～名。～菜。指～。钟～。～污。～心。,dot#speck#spot,0,2
正,一止,10,zhèng#zhēng,正字义较多，仅给出部分词语：～中。～襟危坐。～当。～规。～确。～义。～好。～在。～面。～宗。～本清源。～方形。～电。～数。,right#proper#correct,0,2
业,业,7,yè,国民经济中的部门：工～。#职务，工作岗位：职～。#学习的功课：学～。#重大的成就或功劳：创～。#从事：～商。#财产：产～。#既，已经：～已。,profession#business,0,1
外,夕卜,1,wài,与“内”、“里”相对：～边。#不是自己这方面的：～国。#亲戚：～婆。～甥。#称丈夫：～子。#关系疏远的：～人。#对正式的而言，指非正式的：～号。,out#outside#external,0,2
将,丬夕寸,4,jiāng#jiàng,快要：即～。#带领，扶助：扶～。～军。#拿，持：～心比心。#保养：～息。#兽类生子：～驹。#顺从：～就。#又，且：～信～疑。#刚刚：～才。,will#going to#future,0,3
將,爿丿乛丶丶寸,2,jiāng#jiàng,“将”的繁体字。,will#going to#future,0,6
两,一冂从,7,liǎng,数目，二：～本书。#双方：～边。～便。～旁。～侧。～袖清风。～败俱伤。#中国市制重量单位：十～。半斤八～。#表示不定数目：～下子。,two#both#pair,0,3
兩,一巾入入,4,liǎng,“两”的繁体字。,two#both#pair,0,4
高,亠口冋,19,gāo,高字义较多，仅给出部分词语：～空。～耸。身～。～级。～手。～歌。～见。～昂。兴～采烈。崇～。清～。～风亮节。～尚。～雅。～洁。～祖。姓～。,high#tall#lofty,0,3
间,门日,4,jiān#jiàn,两段时间或两种事物相接的地方：中～。～距。～奏。天地之～。#在一定空间或时间内：田～。人～。#房子内隔成的部分：里～。衣帽～。～量。#量词。,midpoint#space#place,0,2
間,門日,3,jiān#jiàn,“间”的繁体字。,midpoint#space#place,0,2
由,由,25,yóu,原因：原～。事～。理～。～于。#自，从：～表及里。～衷。#顺随，听从，归属：～不得。#经过，经历：必～之路。～来已久。#凭借：～此可知。,cause#reason#from,0,1
问,门口,0,wèn,有不知道或不明白的事请人解答：询～。～答。～题。～鼎。质～。过～。#为表关切而询问：慰～。～候。～长～短。#审讯，追究：审～。～案。唯你是～。,ask about#inquire after,0,2
問,門口,1,wèn,“问”的繁体字。,ask about#inquire after,0,2
很,彳艮,0,hěn,甚，非常，表示程度加深：～快。～好。#古同“狠”，凶恶。#古代指争讼：“～无求胜”。,very#quite#much,0,2
最,日取,3,zuì,极，无比的：～大。～高。～初。～终。～为。#聚合：忧喜～门。#合计：“～大将军青凡七出击匈奴”。,most#extremely#exceedingly,0,2
